DEPARTAMENTO,CARGO,SUELDO BRUTO,MES,AÑO
SUPERVISORIA GENERAL,SUPERVISOR GENERAL DE LOS SERVICIOS DE SEGU.,20000,Mayo,2026
SUPERVISORIA GENERAL,SUPERVISOR GENERALES DE LOS SERVICIOS DE SEGU.,20000,Mayo,2026
SUPERVISORIA GENERAL,SUPERVISOR GENERALES DE LOS SERVICIOS DE SEGU.,20000,Mayo,2026
SUPERVISORIA GENERAL,SERVICIO DE SEGURIDAD AEROPORTUARIA,21500,Mayo,2026
SUPERVISORIA GENERAL,SERVICIO DE SEGURIDAD AEROPORTUARIA,15000,Mayo,2026
INSPECTORIA GENERAL,INSPECTOR GENERAL,125000,Mayo,2026
INSPECTORIA GENERAL,ENC. DEPTO. DE AYUDANTIA,35000,Mayo,2026
INSPECTORIA GENERAL,ENC. DIV. ADMINISTRATIVA,30000,Mayo,2026
INSPECTORIA GENERAL,ENC. SECC. DE SEGUIMIENTO,25000,Mayo,2026
INSPECTORIA GENERAL,DIGITADOR,30000,Mayo,2026
INSPECTORIA GENERAL,SERVICIO DE SEGURIDAD AEROPORTUARIA,30000,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,DIRECTOR DE RECURSOS HUMANOS,90000,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,SUBDIRECTOR DE RECURSOS HUMANOS,70000,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,SUB-DIRECTORA DE NOMINA,70000,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,ENC. DEPTO. DE ADMINISTRATIVO,35000,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,ENC. DEPTO. DE ANALIS DE CARGOS,35000,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,ENC. DEPTO. DE RECLUTAMIENTO Y SELECCIÓN DE PERSONAL,35000,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,ENC. DEPTO. DE REGISTRO Y CONTROL,35000,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,ENC. DIV. CAPACITACION Y DESARROLLO,25000,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,ENC. DIV. DATOS Y RECORD,25000,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,ENC. DIV. DE CARNETIZACION,25000,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,ENC. DIV. DE CORRESPONDENCIA Y ARCHIVO,25000,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,ENC. DIV. DE EVALUACION DE INGRESOS,25000,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,ENC. DIV. DE SEGUIMIENTO Y CONTROL PERSONAL,25000,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,ENC. DIV. DE SEGURO MEDICO,25000,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,ENCARGADA DE LA DIVISION DE DESCUENTOS Y COMPENSACIONES,35000,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,ENC. SECC. BIENESTAR HUMANOS,15000,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,ENC. SECC. DE ANALISIS DE DOCUMENTOS,15000,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,ENC. SECC. DE CAPACITACION EXTRACURRILARES,15000,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,ENC. SECC. DE CARNET UNICO,15000,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,ENC. SECC. DE COMPENSACION,15000,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,ENC. SECC. DE CONTROL DE SUPLE.VAC.Y LICE. MED,30000,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,ENC. SECC. DE DESCUENTOS,20300,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,ENC. SECC. DE EVALUACION DEL DESEMPEÑO,15000,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,ENC. SECC. DEL PERSONAL PASIVO,15000,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,ENC. SECC. RECIBO Y DESPACHO CORRESP,15000,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,ENC. SECC. RIESGO LABORAL,15000,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,AUXI. DIV. DE SEGUIMIENTO Y CONTROL,12500,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,AUXILIAR,15000,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,AUXILIAR,17000,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,AUXILIAR DE DATOS Y RECORD,10000,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,AUXILIAR DEPTO. DE RECLUTAMIENTO Y SELECCION PERSONAL,25000,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,AUXILIAR DEPTO. DE RECLUTAMIENTO Y SELECCION PERSONAL,25000,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,AUXILIAR DEPTO. REGISTRO Y CONTROL,30000,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,AUXILIAR DIV. DE EVALUACION DE INGRESO,12500,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,AUXILIAR DIV. SEGUIMIENTO Y CONTROL DE PERSONAL,30000,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,AUXILIAR SECC. DE EVALUACION,25000,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,SUPERVISOR AVSEC,21500,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,SUPLENTE DEL DIRECTOR DE SEGURIDAD EN EL AILA,25000,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,DIGITADOR,30000,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,ASESOR PERMANENTE DE LA DIRECCIÓN GENERAL,30000,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,ASESOR PERMANENTE DE LA DIRECCIÓN GENERAL,20000,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,ASESOR PERMANENTE DE LA DIRECCIÓN GENERAL,20000,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,MEDICO DE SERV. SEDE PRINCIPAL,30000,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,PERIODISTA,20000,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,CHOFER NIVEL 1 (VEHICULOS PESADOS Y TRANSPORTE COLECTIVO),15000,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,CHOFER,18500,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,CHOFER NIVEL 2 (VEHICULOS LIVIANOS),15000,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,SERV. DE GUARDIA INTERIOR,10000,Mayo,2026
DIRECCION DE RECURSOS HUMANOS,SERV. DE GUARDIA INTERIOR,5000,Mayo,2026
